Accident_Index,Police_Force,Did_Police_Officer_Attend_Scene_of_Accident
2016010000232,1,1
2016010000233,1,1
2016010000234,1,1
2016010000236,1,1
2016010000237,1,1
2016010000238,1,1
2016010000240,1,1
2016010000241,1,1
2016010000243,1,1
2016010000244,1,1
2016010000245,1,1
2016010000246,1,1
2016010000247,1,1
2016010000248,1,1
2016010000251,1,1
2016010000252,1,1
2016010000253,1,1
2016010000254,1,1
2016010000255,1,1
2016010000256,1,1
2016010000257,1,1
2016010000258,1,1
2016010000259,1,1
2016010000262,1,1
2016010000263,1,1
2016010000264,1,1
2016010000265,1,1
2016010000266,1,1
2016010000267,1,1
2016010000269,1,1
2016010000270,1,1
2016010000271,1,1
2016010000272,1,1
2016010000273,1,1
2016010000274,1,1
2016010000275,1,1
2016010000277,1,1
2016010000278,1,1
2016010000279,1,1
2016010000281,1,1
2016010000282,1,1
2016010000283,1,1
2016010000284,1,1
2016010000285,1,1
2016010000286,1,1
2016010000287,1,1
2016010000288,1,1
2016010000289,1,1
2016010000290,1,1
2016010000291,1,1
2016010000292,1,3
2016010000293,1,1
2016010000294,1,1
2016010000295,1,1
2016010000298,1,1
2016010000299,1,1
2016010000300,1,1
2016010000302,1,1
2016010000303,1,1
2016010000304,1,1
2016010000305,1,1
2016010000306,1,1
2016010000307,1,1
2016010000308,1,1
2016010000310,1,1
2016010000311,1,1
2016010000316,1,1
2016010000319,1,1
2016010000320,1,1
2016010000323,1,1
2016010000325,1,1
2016010000327,1,3
2016010000331,1,1
2016010000332,1,1
2016010000333,1,1
2016010000334,1,1
2016010000337,1,1
2016010000339,1,1
2016010000340,1,1
2016010000341,1,3
2016010000343,1,1
2016010000344,1,1
2016010000345,1,1
2016010000347,1,1
2016010000348,1,1
2016010000349,1,1
2016010000352,1,1
2016010000354,1,1
2016010000356,1,1
2016010000357,1,1
2016010000358,1,1
2016010000359,1,1
2016010000361,1,1
2016010000362,1,1
2016010000363,1,1
2016010000364,1,1
2016010000365,1,1
2016010000367,1,1
2016010000368,1,1
2016010000370,1,1
2016010000373,1,1
2016010000374,1,1
2016010000375,1,1
2016010000377,1,1
2016010000378,1,1
2016010000379,1,1
2016010000380,1,1
2016010000381,1,1
2016010000383,1,1
2016010000384,1,1
2016010000386,1,1
2016010000388,1,1
2016010000389,1,1
2016010000390,1,1
2016010000391,1,1
2016010000392,1,1
2016010000393,1,1
2016010000394,1,1
2016010000395,1,1
2016010000396,1,1
2016010000397,1,1
2016010000398,1,1
2016010000399,1,1
2016010000400,1,1
2016010000401,1,1
2016010000402,1,1
2016010000403,1,1
2016010000405,1,1
2016010000406,1,1
2016010000407,1,1
2016010000408,1,1
2016010000411,1,1
2016010000413,1,1
2016010000414,1,1
2016010000416,1,1
2016010000417,1,1
2016010000418,1,1
2016010000419,1,1
2016010000420,1,1
2016010000422,1,1
2016010000423,1,1
2016010000424,1,1
2016010000425,1,1
2016010000426,1,1
2016010000427,1,1
2016010000428,1,1
2016010000429,1,1
2016010000433,1,1
2016010000436,1,1
2016010000437,1,1
2016010000438,1,1
2016010000439,1,1
2016010000441,1,1
2016010000444,1,1
2016010000445,1,1
2016010000446,1,1
2016010000447,1,1
2016010000449,1,1
2016010000452,1,1
2016010000453,1,1
2016010000454,1,1
2016010000455,1,1
2016010000456,1,1
2016010000457,1,1
2016010000459,1,1
2016010000460,1,1
2016010000461,1,1
2016010000462,1,1
2016010000463,1,1
2016010000464,1,1
2016010000465,1,1
2016010000467,1,1
2016010000470,1,1
2016010000471,1,1
2016010000472,1,1
2016010000473,1,1
2016010000474,1,1
2016010000476,1,1
2016010000478,1,1
2016010000479,1,1
2016010000481,1,1
2016010000482,1,1
2016010000483,1,1
2016010000484,1,3
2016010000485,1,1
2016010000486,1,1
2016010000487,1,1
2016010000488,1,1
2016010000490,1,1
2016010000491,1,1
2016010000492,1,1
2016010000494,1,1
2016010000495,1,1
2016010000496,1,1
2016010000497,1,1
2016010000498,1,1
2016010000499,1,1
2016010000500,1,1
2016010000501,1,1
2016010000502,1,1
2016010000503,1,1
2016010000504,1,1
2016010000505,1,1
2016010000506,1,1
2016010000507,1,1
2016010000509,1,1
2016010000511,1,1
2016010000513,1,1
2016010000514,1,1
2016010000515,1,1
2016010000516,1,1
2016010000517,1,1
2016010000518,1,1
2016010000519,1,1
2016010000522,1,1
2016010000523,1,1
2016010000524,1,1
2016010000526,1,1
2016010000527,1,1
2016010000529,1,1
2016010000531,1,1
2016010000533,1,1
2016010000534,1,1
2016010000535,1,1
2016010000536,1,1
2016010000538,1,1
2016010000541,1,1
2016010000544,1,3
2016010000545,1,1
2016010000546,1,1
2016010000547,1,1
2016010000548,1,1
2016010000550,1,1
2016010000551,1,1
2016010000552,1,1
2016010000553,1,1
2016010000554,1,1
2016010000555,1,1
2016010000556,1,1
2016010000557,1,1
2016010000558,1,1
2016010000560,1,1
2016010000562,1,1
2016010000563,1,1
2016010000564,1,1
2016010000566,1,1
2016010000568,1,1
2016010000569,1,1
2016010000570,1,1
2016010000572,1,3
2016010000575,1,1
2016010000576,1,1
2016010000577,1,1
2016010000578,1,1
2016010000579,1,1
2016010000582,1,1
2016010000583,1,1
2016010000584,1,1
2016010000585,1,1
2016010000586,1,1
2016010000587,1,1
2016010000588,1,1
2016010000590,1,1
2016010000592,1,1
2016010000593,1,1
2016010000594,1,1
2016010000596,1,1
2016010000597,1,1
2016010000599,1,1
2016010000602,1,1
2016010000605,1,1
2016010000607,1,1
2016010000608,1,1
2016010000609,1,1
2016010000610,1,1
2016010000611,1,1
2016010000612,1,1
2016010000613,1,1
2016010000614,1,1
2016010000615,1,1
2016010000617,1,1
2016010000620,1,1
2016010000623,1,1
2016010000624,1,1
2016010000626,1,3
2016010000627,1,1
2016010000628,1,1
2016010000629,1,3
2016010000630,1,3
2016010000631,1,1
2016010000632,1,1
2016010000634,1,3
2016010000636,1,1
2016010000637,1,1
2016010000638,1,1
2016010000640,1,1
2016010000642,1,3
2016010000643,1,1
2016010000644,1,1
2016010000645,1,1
2016010000646,1,1
2016010000648,1,1
2016010000649,1,1
2016010000650,1,1
2016010000651,1,1
2016010000652,1,1
2016010000654,1,1
2016010000655,1,1
2016010000656,1,3
2016010000658,1,3
2016010000659,1,1
2016010000660,1,3
2016010000662,1,1
2016010000663,1,1
2016010000664,1,3
2016010000665,1,1
2016010000667,1,3
2016010000668,1,1
2016010000669,1,1
2016010000670,1,1
2016010000671,1,1
2016010000672,1,1
2016010000673,1,1
2016010000674,1,1
2016010000675,1,1
2016010000677,1,1
2016010000678,1,1
2016010000679,1,1
2016010000680,1,1
2016010000681,1,1
2016010000682,1,1
2016010000683,1,1
2016010000684,1,1
2016010000685,1,1
2016010000686,1,1
2016010000688,1,1
2016010000690,1,1
2016010000691,1,1
2016010000692,1,1
2016010000694,1,1
2016010000695,1,1
2016010000696,1,1
2016010000697,1,1
2016010000698,1,1
2016010000700,1,1
2016010000707,1,1
2016010000708,1,1
2016010000711,1,1
2016010000717,1,1
2016010000718,1,1
2016010000719,1,1
2016010000722,1,3
2016010000725,1,1
2016010000726,1,1
2016010000727,1,1
2016010000728,1,1
2016010000730,1,1
2016010000732,1,1
2016010000733,1,1
2016010000734,1,1
2016010000735,1,1
2016010000737,1,1
2016010000739,1,1
2016010000742,1,1
2016010000743,1,1
2016010000746,1,1
2016010000747,1,3
2016010000748,1,3
2016010000749,1,3
2016010000750,1,3
2016010000751,1,1
2016010000752,1,1
2016010000753,1,1
2016010000756,1,1
2016010000757,1,1
2016010000760,1,1
2016010000761,1,3
2016010000763,1,1
2016010000767,1,1
2016010000769,1,1
2016010000771,1,1
2016010000775,1,1
2016010000776,1,1
2016010000778,1,1
2016010000779,1,1
2016010000780,1,1
2016010000782,1,1
2016010000783,1,1
2016010000786,1,1
2016010000787,1,1
2016010000788,1,1
2016010000790,1,1
2016010000792,1,1
2016010000793,1,1
2016010000794,1,1
2016010000797,1,1
2016010000798,1,1
2016010000800,1,1
2016010000801,1,1
2016010000802,1,1
2016010000803,1,1
2016010000804,1,1
2016010000805,1,1
2016010000806,1,1
2016010000808,1,1
2016010000809,1,1
2016010000810,1,1
2016010000811,1,1
2016010000812,1,1
2016010000813,1,1
2016010000814,1,1
2016010000815,1,1
2016010000816,1,1
2016010000818,1,1
2016010000819,1,1
2016010000820,1,1
2016010000823,1,1
2016010000824,1,1
2016010000825,1,1
2016010000828,1,1
2016010000830,1,1
2016010000831,1,1
2016010000832,1,1
2016010000833,1,1
2016010000834,1,1
2016010000835,1,1
2016010000836,1,1
2016010000844,1,1
2016010000845,1,1
2016010000846,1,3
2016010000848,1,1
2016010000849,1,1
2016010000850,1,1
2016010000852,1,1
2016010000861,1,1
2016010000862,1,1
2016010000863,1,1
2016010000865,1,1
2016010000866,1,1
2016010000869,1,1
2016010000871,1,1
2016010000872,1,1
2016010000873,1,1
2016010000874,1,1
2016010000875,1,1
2016010000876,1,3
2016010000877,1,1
2016010000879,1,3
2016010000882,1,1
2016010000883,1,1
2016010000884,1,1
2016010000885,1,3
2016010000890,1,1
2016010000891,1,3
2016010000893,1,1
2016010000894,1,1
2016010000895,1,1
2016010000899,1,1
2016010000901,1,1
2016010000902,1,1
2016010000903,1,1
2016010000906,1,1
2016010000911,1,1
2016010000912,1,1
2016010000913,1,1
2016010000916,1,1
2016010000917,1,1
2016010000918,1,1
2016010000919,1,1
2016010000920,1,1
2016010000922,1,1
2016010000924,1,1
2016010000925,1,1
2016010000926,1,1
2016010000928,1,1
2016010000930,1,1
2016010000931,1,1
2016010000932,1,1
2016010000933,1,1
2016010000934,1,1
2016010000935,1,1
2016010000936,1,1
2016010000937,1,1
2016010000938,1,1
2016010000939,1,1
2016010000940,1,1
2016010000941,1,1
2016010000943,1,1
2016010000944,1,1
2016010000945,1,1
2016010000947,1,1
2016010000948,1,1
2016010000949,1,1
2016010000953,1,1
2016010000954,1,1
2016010000955,1,1
2016010000956,1,1
2016010000957,1,1
2016010000958,1,1
2016010000961,1,1
2016010000962,1,1
2016010000963,1,3
2016010000964,1,1
2016010000966,1,1
2016010000967,1,3
2016010000969,1,1
2016010000970,1,3
2016010000971,1,3
2016010000974,1,1
2016010000975,1,1
2016010000976,1,1
2016010000978,1,1
2016010000981,1,1
2016010000982,1,1
2016010000984,1,1
2016010000985,1,1
2016010000987,1,1
2016010000988,1,1
2016010000997,1,1
2016010000998,1,1
2016010001000,1,1
2016010001001,1,1
2016010001002,1,1
2016010001005,1,1
2016010001008,1,1
2016010001009,1,1
2016010001016,1,1
2016010001017,1,3
2016010001020,1,1
2016010001021,1,3
2016010001024,1,3
2016010001025,1,3
2016010001028,1,1
2016010001030,1,1
2016010001031,1,1
2016010001035,1,1
2016010001037,1,1
2016010001039,1,1
2016010001041,1,1
2016010001042,1,1
2016010001044,1,1
2016010001045,1,1
2016010001046,1,1
2016010001047,1,1
2016010001048,1,1
2016010001049,1,1
2016010001051,1,1
2016010001054,1,1
2016010001055,1,1
2016010001056,1,1
2016010001057,1,1
2016010001058,1,1
2016010001059,1,1
2016010001060,1,1
2016010001061,1,1
2016010001063,1,1
2016010001064,1,1
2016010001065,1,1
2016010001066,1,1
2016010001067,1,1
2016010001068,1,1
2016010001069,1,1
2016010001074,1,1
2016010001075,1,1
2016010001077,1,1
2016010001078,1,1
2016010001079,1,1
2016010001080,1,1
2016010001083,1,1
2016010001084,1,1
2016010001088,1,1
2016010001090,48,1
2016010001091,1,1
2016010001095,1,1
2016010001096,1,1
2016010001097,1,1
2016010001098,1,1
2016010001099,1,1
2016010001108,1,1
2016010001110,1,1
2016010001111,1,1
2016010001112,1,1
2016010001114,1,1
2016010001115,1,3
2016010001118,1,1
2016010001119,1,1
2016010001120,1,3
2016010001124,1,1
2016010001129,1,1
2016010001130,1,3
2016010001134,1,1
2016010001139,1,1
2016010001143,1,1
2016010001145,1,3
2016010001146,1,1
2016010001149,1,1
2016010001150,1,1
2016010001152,1,1
2016010001154,1,1
2016010001155,1,1
2016010001157,1,1
2016010001158,1,1
2016010001160,1,1
2016010001161,1,1
2016010001162,1,3
2016010001164,1,3
2016010001165,1,1
2016010001168,1,1
2016010001170,1,1
2016010001173,1,1
2016010001176,1,1
2016010001177,1,1
2016010001179,1,1
2016010001180,1,1
2016010001183,1,1
2016010001185,1,1
2016010001186,1,1
2016010001188,1,1
2016010001189,1,1
2016010001192,1,1
2016010001196,1,1
2016010001197,1,1
2016010001201,1,1
2016010001205,1,1
2016010001206,1,1
2016010001207,1,1
2016010001208,1,1
2016010001210,1,1
2016010001211,1,1
2016010001213,1,3
2016010001214,1,1
2016010001215,1,1
2016010001216,1,1
2016010001217,1,1
2016010001220,1,1
2016010001221,1,1
2016010001222,1,1
2016010001223,1,1
2016010001224,1,1
2016010001225,1,1
2016010001226,1,1
2016010001227,1,3
2016010001228,1,1
2016010001229,1,1
2016010001231,1,1
2016010001232,1,1
2016010001234,1,1
2016010001235,1,1
2016010001236,1,1
2016010001237,1,1
2016010001238,1,1
2016010001241,1,1
2016010001242,1,1
2016010001243,1,1
2016010001245,1,1
2016010001246,1,1
2016010001247,1,3
2016010001248,1,1
2016010001249,1,1
2016010001250,1,1
2016010001253,1,1
2016010001256,1,1
2016010001258,1,1
2016010001260,1,1
2016010001262,1,1
2016010001264,1,1
2016010001265,1,1
2016010001266,1,1
2016010001268,1,1
2016010001272,1,1
2016010001276,1,1
2016010001277,1,1
2016010001279,1,1
2016010001280,1,1
2016010001281,1,1
2016010001288,1,1
2016010001290,1,1
2016010001291,1,1
2016010001294,1,1
2016010001296,1,1
2016010001297,1,1
2016010001298,1,1
2016010001299,1,1
2016010001300,1,1
2016010001301,1,1
2016010001302,1,1
2016010001303,1,1
2016010001305,1,1
2016010001306,1,1
2016010001307,1,1
2016010001309,1,1
2016010001310,1,1
2016010001311,1,1
2016010001312,1,1
2016010001313,1,1
2016010001317,1,1
2016010001318,1,1
2016010001319,1,3
2016010001320,1,1
2016010001321,1,1
2016010001322,1,1
2016010001324,1,1
2016010001325,1,1
2016010001326,1,1
2016010001327,1,1
2016010001328,1,1
2016010001329,1,3
2016010001330,1,1
2016010001331,1,1
2016010001332,1,1
2016010001333,1,1
2016010001334,1,1
2016010001336,1,1
2016010001337,1,1
2016010001338,1,1
2016010001339,1,1
2016010001340,1,1
2016010001341,1,1
2016010001342,1,1
2016010001343,1,1
2016010001344,1,1
2016010001345,1,1
2016010001346,1,1
2016010001347,1,1
2016010001348,1,1
2016010001349,1,1
2016010001350,1,1
2016010001351,1,1
2016010001352,1,1
2016010001353,1,1
2016010001355,1,1
2016010001356,1,1
2016010001357,1,1
2016010001358,1,1
2016010001359,1,1
2016010001360,1,1
2016010001362,1,1
2016010001363,1,1
2016010001364,1,3
2016010001365,1,1
2016010001367,1,1
2016010001372,1,1
2016010001373,1,1
2016010001375,1,1
2016010001376,1,1
2016010001377,1,1
2016010001378,1,1
2016010001379,1,1
2016010001380,1,1
2016010001381,1,1
2016010001383,1,1
2016010001385,1,1
2016010001388,1,1
2016010001390,1,1
2016010001391,1,1
2016010001393,1,1
2016010001397,1,1
2016010001400,1,1
2016010001401,1,1
2016010001403,1,1
2016010001404,1,1
2016010001405,1,1
2016010001407,1,1
2016010001408,1,1
2016010001410,1,1
2016010001411,1,1
2016010001412,1,1
2016010001413,1,1
2016010001414,1,1
2016010001416,1,1
2016010001417,1,1
2016010001418,1,1
2016010001420,1,1
2016010001421,1,1
2016010001423,1,1
2016010001425,1,1
2016010001426,1,1
2016010001427,1,1
2016010001428,1,1
2016010001429,1,1
2016010001430,1,1
2016010001432,1,1
2016010001433,1,1
2016010001434,1,1
2016010001435,1,1
2016010001436,1,1
2016010001438,1,1
2016010001440,1,1
2016010001441,1,1
2016010001443,1,1
2016010001446,1,1
2016010001447,1,1
2016010001448,1,1
2016010001449,1,1
2016010001450,1,1
2016010001451,1,1
2016010001452,1,1
2016010001453,1,1
2016010001454,1,1
2016010001455,1,1
2016010001456,1,1
2016010001458,1,1
2016010001459,1,1
2016010001460,1,1
2016010001461,1,1
2016010001462,1,1
2016010001463,1,1
2016010001465,1,1
2016010001467,1,1
2016010001468,1,1
2016010001469,1,1
2016010001470,1,1
2016010001471,1,3
2016010001472,1,1
2016010001473,1,1
2016010001475,1,1
2016010001476,1,1
2016010001478,1,1
2016010001479,1,1
2016010001485,1,1
2016010001489,1,3
2016010001491,1,1
2016010001493,1,3
2016010001494,1,1
2016010001496,1,1
2016010001497,1,1
2016010001502,1,3
2016010001505,1,3
2016010001506,1,1
2016010001508,1,3
2016010001510,1,1
2016010001512,1,3
2016010001513,1,1
2016010001514,1,1
2016010001521,1,1
2016010001522,1,1
2016010001526,1,3
2016010001527,1,1
2016010001528,1,1
2016010001530,1,1
2016010001531,1,3
2016010001534,1,3
2016010001535,1,1
2016010001536,1,1
2016010001537,1,1
2016010001540,1,3
2016010001542,1,1
2016010001543,1,1
2016010001546,1,1
2016010001548,1,1
2016010001549,1,1
2016010001558,1,1
2016010001559,1,1
2016010001560,1,1
2016010001561,1,1
2016010001562,1,1
2016010001563,1,1
2016010001564,1,1
2016010001565,1,1
2016010001566,1,1
2016010001567,1,1
2016010001568,1,1
2016010001569,1,1
2016010001571,1,1
2016010001572,1,1
2016010001574,1,1
2016010001576,1,1
2016010001577,1,1
2016010001578,1,1
2016010001579,1,1
2016010001580,1,1
2016010001581,1,1
2016010001582,1,1
2016010001583,1,1
2016010001584,1,1
2016010001588,1,1
2016010001589,1,1
2016010001590,1,1
2016010001591,1,1
2016010001592,1,1
2016010001593,1,1
2016010001594,1,1
2016010001596,1,1
2016010001597,1,1
2016010001598,1,1
2016010001600,1,1
2016010001602,1,1
2016010001603,1,1
2016010001604,1,1
2016010001606,1,1
2016010001610,1,1
2016010001616,1,1
2016010001617,1,3
2016010001618,1,3
2016010001628,1,1
2016010001634,1,3
2016010001636,1,1
2016010001638,1,3
2016010001641,1,1
2016010001643,1,3
2016010001647,1,1
2016010001651,1,3
2016010001653,1,1
2016010001654,1,1
2016010001655,1,3
2016010001662,1,1
2016010001664,1,1
2016010001667,1,1
2016010001669,1,1
2016010001670,1,1
2016010001676,1,1
2016010001677,1,1
2016010001678,1,1
2016010001682,1,1
2016010001684,1,1
2016010001686,1,3
2016010001687,1,1
2016010001689,1,1
2016010001690,1,1
2016010001691,1,1
2016010001692,1,1
2016010001702,1,3
2016010001703,1,1
2016010001704,1,1
2016010001706,1,3
2016010001707,1,1
2016010001710,1,1
2016010001711,1,1
2016010001713,1,3
2016010001714,1,1
2016010001716,1,1
2016010001717,1,1
2016010001721,1,1
2016010001726,1,1
2016010001728,1,3
2016010001731,1,3
2016010001733,1,1
2016010001734,1,1
2016010001737,1,1
2016010001739,1,1
2016010001744,1,1
2016010001745,1,3
2016010001748,1,1
2016010001749,1,1
2016010001751,1,1
2016010001753,1,1
2016010001758,1,1
2016010001759,1,1
2016010001760,1,1
2016010001762,1,1
2016010001763,1,1
2016010001764,1,1
2016010001766,1,1
2016010001767,1,1
2016010001768,1,1
2016010001769,1,1
2016010001770,1,1
2016010001771,1,1
2016010001773,1,1
2016010001774,1,1
2016010001775,1,1
2016010001776,1,1
2016010001777,1,1
2016010001778,1,1
2016010001780,1,1
2016010001783,1,1
2016010001784,1,1
2016010001785,1,1
2016010001786,1,1
2016010001787,1,1
2016010001788,1,1
2016010001789,1,1
2016010001791,1,1
2016010001793,1,1
2016010001794,1,1
2016010001795,1,1
2016010001797,1,1
2016010001800,1,3
2016010001806,1,3
2016010001812,1,3
2016010001815,1,3
2016010001820,1,3
2016010001825,1,1
2016010001833,1,1
2016010001834,1,1
2016010001836,1,1
2016010001839,1,3
2016010001840,1,1
2016010001841,1,1
2016010001842,1,1
2016010001845,1,3
2016010001848,1,1
2016010001851,1,1
2016010001853,1,1
2016010001856,1,1
2016010001857,1,3
2016010001858,1,1
2016010001859,1,1
2016010001860,1,3
2016010001862,1,1
2016010001864,1,1
2016010001865,1,1
2016010001867,1,3
2016010001869,1,1
2016010001871,1,1
2016010001873,1,1
2016010001874,1,3
2016010001875,1,1
2016010001877,1,1
2016010001882,1,1
2016010001888,1,1
2016010001889,1,1
2016010001894,1,3
2016010001898,1,1
2016010001899,1,1
2016010001900,1,1
2016010001902,1,1
2016010001904,1,3
2016010001914,1,1
2016010001915,1,3
2016010001916,1,1
2016010001917,1,1
2016010001919,1,1
2016010001920,1,1
2016010001921,1,1
2016010001922,1,1
2016010001925,1,1
2016010001926,1,1
2016010001928,1,1
2016010001930,1,1
2016010001931,1,1
2016010001932,1,1
2016010001933,1,1
2016010001934,1,1
2016010001935,1,1
2016010001937,1,1
2016010001938,1,1
2016010001939,1,1
2016010001940,1,1
2016010001941,1,1
2016010001943,1,1
2016010001944,1,1
2016010001945,1,1
2016010001947,1,1
2016010001948,1,1
2016010001949,1,1
2016010001951,1,1
2016010001952,1,1
2016010001953,1,1
2016010001954,1,1
2016010001956,1,1
2016010001957,1,3
2016010001958,1,1
2016010001959,1,1
2016010001960,1,1
2016010001963,1,3
2016010001964,1,1
2016010001965,1,1
2016010001967,1,1
2016010001969,1,1
2016010001970,1,1
2016010001971,1,1
2016010001972,1,1
2016010001975,1,1
2016010001977,1,1
2016010001978,1,3
2016010001979,1,1
2016010001980,1,1
2016010001982,1,1
2016010001983,1,1
2016010001986,1,1
2016010001989,1,1
2016010001991,1,1
2016010001992,1,3
2016010001994,1,3
2016010001995,1,3
2016010001998,1,3
2016010001999,1,1
2016010002008,1,3
2016010002011,1,1
2016010002019,1,3
2016010002023,1,3
2016010002024,1,1
2016010002025,1,3
2016010002026,1,1
2016010002029,1,1
2016010002032,1,1
2016010002037,1,1
2016010002038,1,1
2016010002041,1,1
2016010002045,1,1
2016010002052,1,1
2016010002057,1,1
2016010002058,1,3
2016010002059,1,1
2016010002061,1,3
2016010002063,1,1
2016010002064,1,1
2016010002066,1,1
2016010002067,1,1
2016010002068,1,3
2016010002069,1,1
2016010002071,1,3
2016010002073,1,1
2016010002074,1,1
2016010002078,1,1
2016010002083,1,1
2016010002084,1,1
2016010002085,1,1
2016010002087,1,1
2016010002089,1,1
2016010002090,1,1
2016010002091,1,1
2016010002092,1,3
2016010002093,1,1
2016010002094,1,1
2016010002095,1,1
2016010002096,1,1
2016010002097,1,1
2016010002098,1,1
2016010002099,1,1
2016010002100,1,1
2016010002101,1,1
2016010002102,1,1
2016010002103,1,1
2016010002104,1,1
2016010002105,1,1
2016010002108,1,1
2016010002109,1,1
2016010002110,1,1
2016010002111,1,1
2016010002114,1,1
2016010002118,1,1
2016010002119,1,1
2016010002120,1,1
2016010002121,1,1
2016010002122,1,1
2016010002123,1,1
2016010002126,1,1
2016010002127,1,1
2016010002128,1,1
2016010002130,1,1
2016010002131,1,1
2016010002132,1,1
2016010002133,1,1
2016010002135,1,1
2016010002143,1,3
2016010002146,1,3
2016010002149,1,1
2016010002152,1,3
2016010002155,1,1
2016010002156,1,1
2016010002157,1,1
2016010002159,1,1
2016010002162,1,3
2016010002165,1,1
2016010002168,1,1
2016010002175,1,1
2016010002178,1,1
2016010002179,1,1
2016010002185,1,1
2016010002187,1,3
2016010002189,1,1
2016010002192,1,1
2016010002200,1,1
2016010002201,1,1
2016010002203,1,1
2016010002208,1,1
2016010002209,1,1
2016010002210,1,1
2016010002211,1,1
2016010002212,1,1
2016010002213,1,1
2016010002214,1,1
2016010002215,1,1
2016010002217,1,1
2016010002218,1,1
2016010002221,1,1
2016010002222,1,3
2016010002226,1,3
2016010002227,1,3
2016010002228,1,3
2016010002231,1,1
2016010002232,1,1
2016010002238,1,1
2016010002239,1,1
2016010002240,1,1
2016010002242,1,1
2016010002243,1,1
2016010002244,1,1
2016010002245,1,1
2016010002246,1,1
2016010002247,1,1
2016010002248,1,1
2016010002250,1,1
2016010002251,1,1
2016010002252,1,1
2016010002253,1,1
2016010002254,1,1
2016010002255,1,1
2016010002256,1,1
2016010002258,1,1
2016010002259,1,1
2016010002260,1,1
2016010002261,1,1
2016010002262,1,1
2016010002263,1,1
2016010002264,1,1
2016010002265,1,1
2016010002266,1,1
2016010002267,1,1
2016010002268,1,1
2016010002271,1,1
2016010002273,1,1
2016010002275,1,1
2016010002276,1,1
2016010002277,1,1
2016010002278,1,1
2016010002279,1,1
2016010002280,1,1
2016010002281,1,1
2016010002282,1,1
2016010002283,1,1
2016010002284,1,1
2016010002285,1,1
2016010002286,1,1
2016010002287,1,1
2016010002288,1,1
2016010002289,1,1
2016010002290,1,1
2016010002292,1,1
2016010002293,1,1
2016010002294,1,1
2016010002295,1,1
2016010002296,1,1
2016010002298,1,1
2016010002299,1,1
2016010002300,1,1
2016010002301,1,1
2016010002306,1,1
2016010002307,1,1
2016010002308,1,1
2016010002309,1,1
2016010002312,1,1
2016010002313,1,1
2016010002314,1,1
2016010002316,1,1
2016010002317,1,1
2016010002320,1,3
2016010002322,1,1
2016010002324,1,3
2016010002325,1,3
2016010002330,1,3
2016010002335,1,1
2016010002339,1,3
2016010002341,1,3
2016010002343,1,1
2016010002344,1,3
2016010002347,1,1
2016010002348,1,1
2016010002355,1,1
2016010002357,1,1
2016010002358,1,1
2016010002359,1,1
2016010002360,1,1
2016010002362,1,1
